,config_id,LoadCase,Moment,C10Nucleus,C01Nucleus,C10Annulus,K1Annulus,K2Annulus,Kappa,K1Circ,K2Circ,K1Rad,K2Rad,FiberAngle,FiberAngleCirc,FiberAngleRad,y_ROM,y_IDP
104,104,0,0.0,0.6807531456837779,0.5017740431704534,0.5669405128806411,0.14053640792058333,0.552582757375237,0.6471306192134666,0.54071646978304,0.78393262933534,0.450834830385408,0.523251613119205,0.33366288684804446,0.9325468626691767,0.5520149154197149,0.07847607044829351,0.5166325887773544
106,106,0,0.0,0.5376725629562666,0.8895051668322245,0.31076370261023073,0.15419123222915954,0.7450955543731852,0.865200618422412,0.0131642676758585,0.29813422582592497,0.493581397825951,0.5840500304669649,0.10977431016147554,0.4451913569568233,0.89208271871881,0.1131222054341354,0.5168960836795718
107,107,0,0.0,0.93838112889375,0.8549060263285556,0.20517119834884873,0.04511820770616049,0.7190843516198148,0.7559157134749455,0.4840232294912535,0.949332331361065,0.46431205702518397,0.3782974049581735,0.7817989264633289,0.8780433374166468,0.54513720481009,0.11267346214344298,0.5253711276082315
108,108,0,0.0,0.10212493011079557,0.9958454252725489,0.7625007372561948,0.971676313911938,0.9966155088838519,0.5429903862269394,0.4957848423525685,0.8260816423315449,0.087863880948738,0.9207722932852249,0.036579597212935785,0.7485734202251667,0.2346703168958095,0.07060906224001108,0.5112279787537386
109,109,0,0.0,0.06467019731566555,0.7348495212015712,0.2869320428940846,0.9443820347690977,0.6965866812777111,0.4363286566111848,0.77761912392457,0.219438638875443,0.039096630373197494,0.819282646856245,0.7122787139862355,0.2704952998691927,0.084687883610376,0.08651931537262161,0.5284976698348289
110,110,0,0.0,0.33527939943127394,0.07849224627902891,0.7999125804539974,0.895381483868638,0.5632763607780474,0.7165661083091606,0.7210888110618849,0.7015712520283399,0.72073424919693,0.4544529069573845,0.16498372515745557,0.9461577575651433,0.6414977084838699,0.06886748881030351,0.5105144185179713
111,111,0,0.0,0.928949757761589,0.2471709855684334,0.8423770678504436,0.20833024951857856,0.6321186411510371,0.5911372244670848,0.760361478739945,0.510719145829895,0.31022079831712746,0.07546172959209699,0.1051576138650089,0.91847825386026,0.82040887965535,0.0612850761024273,0.5142582678934016
112,112,0,0.0,0.28995894903823055,0.8835260126155268,0.45034266439976917,0.5323403217278048,0.7310889490477629,0.06939902669855576,0.7050478817005899,0.291893301030335,0.36846855094446146,0.929618799674885,0.01790306357396112,0.33507558453016334,0.91525973849175,0.09448511768041244,0.5115517442464661
113,113,0,0.0,0.5625522896782555,0.6342600719615556,0.32100555784935125,0.9028511737666595,0.9763623291211555,0.7918574912924091,0.8993341028111549,0.488086684942675,0.49003757380908497,0.267545534833737,0.009878138936566888,0.8298478517984267,0.4893149564756935,0.1074709839631781,0.5158676413915995
114,114,0,0.0,0.47181864153868897,0.97460589860736,0.4287656991174179,0.5522459838113263,0.07212105247667777,0.3806412366546969,0.4526473138890075,0.9367919893946399,0.059184317023983996,0.867479012155265,0.34557804868862885,0.7559275449266066,0.023954344961955,0.0808486672081735,0.5224319039517731
